Player,Tm,FantPos,Age,G,GS,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Rushing Att,Rushing Yds,Yards per Rushing Attempt,Rushing TD,Tgt,Rec,Receiving Yds,Yards per Reception,Receiving TD,Fmb,FL,Total TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
Michael Jenkins,ATL,WR,23,14,12,0,0,0,0,0,0,0,0,0,71,36,508,14.11,3,1,1,3,0,0,67,102.8,106.8,84.8,0,63,,2005
Samie Parker,KAN,WR,24,12,9,0,0,0,0,0,0,0,0,0,58,36,533,14.81,3,2,2,3,0,0,67,103.3,108.3,85.3,0,60,,2005
Ricky Proehl,CAR,WR,37,16,0,0,0,0,0,0,1,-8,-8.00,0,50,25,441,17.64,4,0,0,4,0,0,67,92.3,95.3,79.8,0,61,,2005
Erron Kinney,TEN,TE,28,14,14,0,0,0,0,0,0,0,0,0,72,55,543,9.87,2,0,0,2,0,0,66,121.3,124.3,93.8,0,15,,2005
Ben Watson,NWE,TE,25,15,9,0,0,0,0,0,0,0,0,0,54,29,441,15.21,4,1,1,4,0,0,66,95.1,99.1,80.6,0,16,,2005
Tony Fisher,GNB,RB,26,14,4,1,1,14,0,0,60,173,2.88,1,65,48,347,7.23,1,2,0,2,0,0,65,112.6,118.6,88.6,0,49,,2005
Dennis Northcutt,CLE,WR,28,16,7,0,0,0,0,0,2,33,16.50,0,77,42,441,10.50,2,0,0,3,0,0,65,107.4,110.4,86.4,0,65,,2005
Marcel Shipp,ARI,RB,27,15,11,0,0,0,0,0,157,451,2.87,0,44,35,255,7.29,0,4,3,0,0,0,65,99.6,108.6,82.1,0,48,,2005
Marshall Faulk,STL,RB,32,16,1,0,0,0,0,0,65,292,4.49,0,58,44,291,6.61,1,2,1,1,1,0,64,108.3,115.3,86.3,0,50,,2005
Shawn Bryson,DET,RB,29,16,2,0,0,0,0,0,64,306,4.78,1,47,37,284,7.68,0,1,1,1,0,0,63,100.0,107.0,81.5,0,53,,2005
Jabar Gaffney,HOU,WR,25,16,13,0,0,0,0,0,4,13,3.25,0,90,55,492,8.95,2,0,0,2,0,0,63,117.5,120.5,90.0,0,67,,2005
Greg Lewis,PHI,WR,25,16,16,0,0,0,0,0,2,13,6.50,0,105,48,561,11.69,1,0,0,1,0,0,63,111.4,114.4,87.4,0,66,,2005
Deuce McAllister,NOR,RB,27,5,5,0,0,0,0,0,93,335,3.60,3,18,17,117,6.88,0,0,0,3,0,0,63,80.2,86.2,71.7,0,51,,2005
Patrick Pass,NWE,FB,28,12,4,0,0,0,0,0,54,245,4.54,3,30,22,227,10.32,0,2,1,3,0,0,63,85.2,92.2,74.2,0,52,,2005
Jermaine Wiggins,MIN,TE,30,16,8,0,0,0,0,0,0,0,0,0,92,69,568,8.23,1,0,0,1,0,0,63,131.8,134.8,97.3,0,17,,2005
Roddy White,ATL,WR,24,16,8,0,0,0,0,0,4,12,3.00,0,69,29,446,15.38,3,1,1,3,0,0,62,90.8,94.8,76.3,0,68,,2005
J.J. Arrington,ARI,RB,22,15,5,0,0,0,0,0,112,370,3.30,2,34,25,139,5.56,0,1,1,2,0,0,61,85.9,92.9,73.4,0,54,,2005
Az-Zahir Hakim,NOR,WR,28,12,2,0,0,0,0,0,0,0,0,0,58,34,489,14.38,2,1,0,2,0,0,61,94.9,97.9,77.9,0,69,,2005
Brandon Stokley,IND,WR,29,15,4,0,0,0,0,0,0,0,0,0,67,41,543,13.24,1,0,0,1,0,0,60,101.3,104.3,80.8,0,70,,2005
Brian Griese,TAM,QB,30,6,6,112,174,1136,7,7,13,12,0.92,0,0,0,0,0,0,2,1,0,0,0,59,58.6,69.6,65.6,0,38,,2005
Steve Heiden,CLE,TE,29,15,13,0,0,0,0,0,0,0,0,0,60,43,401,9.33,3,0,0,3,0,0,58,101.1,104.1,79.6,0,18,,2005
Jamie Martin,STL,QB,35,8,5,124,177,1277,5,7,9,6,0.67,0,0,0,0,0,0,2,1,0,0,1,58,57.7,68.7,64.7,0,39,,2005
Aaron Stecker,NOR,RB,30,15,4,0,0,0,0,0,95,363,3.82,0,48,35,281,8.03,0,3,3,0,0,0,58,93.4,102.4,75.9,0,55,,2005
Robert Ferguson,GNB,WR,26,11,7,0,0,0,0,0,0,0,0,0,57,27,366,13.56,3,0,0,3,1,0,57,83.6,86.6,70.1,0,71,,2005
Josh Reed,BUF,WR,25,16,6,0,0,0,0,0,1,-3,-3.00,0,53,32,449,14.03,2,0,0,2,0,0,57,88.6,91.6,72.6,0,72,,2005
Adrian Peterson,CHI,RB,26,16,0,0,0,0,0,0,76,391,5.14,2,12,7,48,6.86,0,1,0,2,0,0,56,62.9,65.9,59.4,0,56,,2005
Verron Haynes,PIT,RB,26,14,0,0,0,0,0,0,74,274,3.70,3,17,11,113,10.27,0,2,1,3,0,0,55,65.7,72.7,60.2,0,57,,2005
Mike Sellers,WAS,TE,30,15,6,0,0,0,0,0,1,1,1.00,1,16,12,72,6.00,7,0,0,8,0,0,55,67.3,67.3,61.3,0,19,,2005
Arnaz Battle,SFO,WR,25,10,8,2,2,27,0,0,8,11,1.38,0,54,32,363,11.34,3,1,1,3,0,0,54,86.5,90.5,70.5,0,73,,2005
Ladell Betts,WAS,RB,26,12,0,0,0,0,0,0,89,338,3.80,1,17,10,78,7.80,1,3,3,3,0,0,54,63.6,69.6,58.6,0,58,,2005
Maurice Hicks,SFO,RB,27,14,3,0,0,0,0,0,59,308,5.22,3,16,12,47,3.92,0,0,0,3,0,0,54,65.5,68.5,59.5,0,59,,2005
Devery Henderson,NOR,WR,23,15,3,0,0,0,0,0,1,9,9.00,0,50,22,343,15.59,3,0,0,3,0,0,53,75.2,78.2,64.2,0,75,,2005
Kyle Johnson,DEN,FB,27,16,14,0,0,0,0,0,4,9,2.25,1,31,17,160,9.41,5,0,0,6,0,0,53,69.9,72.9,61.4,0,60,,2005
Shaun McDonald,STL,WR,24,16,2,0,0,0,0,0,1,7,7.00,0,74,46,523,11.37,0,1,0,0,0,0,53,99.0,102.0,76.0,0,76,,2005
Koren Robinson,MIN,WR,25,14,5,0,0,0,0,0,4,27,6.75,1,37,22,347,15.77,1,2,1,3,0,0,53,75.4,79.4,64.4,0,74,,2005
Tim Dwight,NWE,WR,30,16,1,0,0,0,0,0,4,11,2.75,0,34,19,332,17.47,3,1,0,3,0,0,52,71.3,74.3,61.8,0,77,,2005
D.J. Hackett,SEA,WR,24,13,3,0,0,0,0,0,0,0,0,0,43,28,400,14.29,2,0,0,2,0,0,52,80.0,83.0,66.0,0,78,,2005
Michael Turner,SDG,RB,23,16,0,0,0,0,0,0,57,335,5.88,3,1,0,0,0,0,0,0,3,0,0,52,51.5,54.5,51.5,0,61,,2005
Troy Williamson,MIN,WR,22,14,3,0,0,0,0,0,3,28,9.33,0,52,24,372,15.50,2,0,0,2,0,0,52,76.0,79.0,64.0,0,79,,2005
Charlie Frye,CLE,QB,24,7,5,98,164,1002,4,5,18,60,3.33,1,0,0,0,0,0,7,4,1,0,0,50,50.1,62.1,55.1,0,40,,2005
Brandon Jacobs,NYG,RB,23,16,0,0,0,0,0,0,38,99,2.61,7,0,0,0,0,0,1,1,7,0,0,50,49.9,50.9,49.9,0,62,,2005
Jeb Putzier,DEN,TE,26,16,4,0,0,0,0,0,0,0,0,0,58,37,481,13.00,0,1,0,0,1,0,50,87.1,90.1,68.6,0,20,,2005
Jeff Garcia,DET,QB,35,6,5,102,173,937,3,6,17,51,3.00,1,0,0,0,0,0,1,0,1,0,0,49,48.6,57.6,54.6,0,41,,2005
Bryant Johnson,ARI,WR,24,14,4,0,0,0,0,0,1,0,0.00,0,72,40,432,10.80,1,0,0,1,0,0,49,89.2,92.2,69.2,0,80,,2005
Alex Smith,TAM,TE,23,16,10,0,0,0,0,0,0,0,0,0,61,41,367,8.95,2,0,0,2,0,0,49,89.7,92.7,69.2,0,21,,2005
Courtney Anderson,OAK,TE,25,14,13,0,0,0,0,0,0,0,0,0,48,24,303,12.63,3,1,0,3,0,0,48,72.3,75.3,60.3,0,22,,2005
Ryan Fitzpatrick,STL,QB,23,4,3,76,135,777,4,8,14,64,4.57,2,0,0,0,0,0,3,1,2,0,0,47,47.5,59.5,55.5,0,42,,2005
Justin Gage,CHI,WR,24,15,11,0,0,0,0,0,0,0,0,0,55,31,346,11.16,2,0,0,2,0,0,47,77.6,80.6,62.1,0,81,,2005
Cedric Houston,NYJ,RB,23,12,4,0,0,0,0,0,81,302,3.73,2,10,8,66,8.25,0,1,1,2,0,0,47,54.8,58.8,50.8,0,63,,2005
Matt Schaub,ATL,QB,24,16,1,33,64,495,4,0,9,76,8.44,0,0,0,0,0,0,1,1,0,0,3,47,47.4,51.4,47.4,0,43,,2005
Zachary Hilton,NOR,TE,25,15,6,0,0,0,0,0,0,0,0,0,56,35,396,11.31,1,0,0,1,0,0,46,80.6,83.6,63.1,0,23,,2005
Ryan Moats,PHI,RB,23,7,1,0,0,0,0,0,55,278,5.05,3,6,4,7,1.75,0,3,1,3,0,0,45,48.5,52.5,46.5,0,64,,2005
Cedrick Wilson,PIT,WR,27,16,1,0,0,0,0,0,1,0,0.00,0,53,26,451,17.35,0,1,0,0,0,0,45,71.1,74.1,58.1,0,82,,2005
Patrick Crayton,DAL,WR,26,11,0,0,0,0,0,0,1,0,0.00,0,35,22,341,15.50,2,3,1,2,0,0,44,66.1,70.1,55.1,0,83,,2005
Wes Welker,MIA,WR,24,16,1,0,0,0,0,0,1,5,5.00,0,52,29,434,14.97,0,5,0,0,0,0,44,72.9,75.9,58.4,0,84,,2005
Travis Henry,TEN,RB,27,10,1,0,0,0,0,0,88,335,3.81,0,20,13,117,9.00,0,2,1,0,0,0,43,56.2,63.2,49.7,0,65,,2005
Dominic Rhodes,IND,RB,26,13,1,0,0,0,0,0,40,118,2.95,4,16,12,88,7.33,0,2,1,4,0,0,43,54.6,58.6,48.6,0,66,,2005
Reggie Williams,JAX,WR,22,16,7,0,0,0,0,0,2,3,1.50,0,63,35,445,12.71,0,2,1,0,0,0,43,77.8,81.8,60.3,0,85,,2005
Daniel Graham,NWE,TE,27,11,9,0,0,0,0,0,0,0,0,0,25,16,235,14.69,3,1,0,3,0,0,42,57.5,60.5,49.5,0,25,,2005
Brandon Jones,TEN,WR,23,10,8,0,0,0,0,0,1,1,1.00,0,47,23,299,13.00,2,0,0,2,0,0,42,65.0,68.0,53.5,0,87,,2005
David Martin,GNB,TE,26,12,8,0,0,0,0,0,0,0,0,0,39,27,224,8.30,3,0,0,3,1,0,42,69.4,72.4,55.9,0,24,,2005
Scottie Vines,DET,WR,26,13,11,0,0,0,0,0,1,7,7.00,0,71,40,417,10.43,0,0,0,0,0,0,42,82.4,85.4,62.4,0,86,,2005
Roydell Williams,TEN,WR,24,10,2,0,0,0,0,0,0,0,0,0,39,21,299,14.24,2,0,0,2,0,0,42,62.9,65.9,52.4,0,88,,2005
Donald Lee,GNB,TE,25,15,5,0,0,0,0,0,0,0,0,0,55,33,294,8.91,2,0,0,2,0,0,41,74.4,77.4,57.9,0,26,,2005
Alvin Pearman,JAX,RB,23,16,0,0,0,0,0,0,39,149,3.82,1,36,32,240,7.50,0,4,2,1,0,0,41,72.9,80.9,56.9,0,67,,2005
Ahman Green,GNB,RB,28,5,5,0,0,0,0,0,77,255,3.31,0,27,19,147,7.74,0,1,0,0,0,0,40,59.2,65.2,49.7,0,68,,2005
LaBrandon Toefield,JAX,RB,25,9,2,0,0,0,0,0,36,142,3.94,4,7,3,17,5.67,0,0,0,4,0,0,40,42.9,45.9,41.4,0,69,,2005
Keary Colbert,CAR,WR,23,16,16,0,0,0,0,0,1,6,6.00,0,55,25,282,11.28,2,1,1,2,0,0,39,63.8,67.8,51.3,0,89,,2005
Vernand Morency,HOU,RB,25,12,1,0,0,0,0,0,46,184,4.00,2,15,10,87,8.70,0,1,0,2,0,0,39,49.1,52.1,44.1,0,70,,2005
Bo Scaife,TEN,TE,24,16,5,0,0,0,0,0,0,0,0,0,56,37,273,7.38,2,0,0,2,0,0,39,76.3,79.3,57.8,0,27,,2005
Nate Burleson,MIN,WR,24,12,9,0,0,0,0,0,2,-6,-3.00,0,52,30,328,10.93,1,0,0,1,0,0,38,68.2,71.2,53.2,0,90,,2005
Reche Caldwell,SDG,WR,26,16,2,0,0,0,0,0,2,10,5.00,0,43,28,352,12.57,1,2,2,1,0,0,38,66.2,71.2,52.2,0,91,,2005
Zack Crockett,OAK,FB,33,16,10,0,0,0,0,0,60,208,3.47,1,18,13,111,8.54,0,1,0,1,0,0,38,50.9,56.9,44.4,0,71,,2005
Bryan Fletcher,IND,TE,26,16,12,0,0,0,0,0,0,0,0,0,27,18,202,11.22,3,0,0,3,0,0,38,56.2,59.2,47.2,0,28,,2005
Maurice Morris,SEA,RB,26,16,2,0,0,0,0,0,71,288,4.06,1,6,5,48,9.60,0,0,1,1,0,0,38,42.6,46.6,40.1,0,72,,2005
Michael Clayton,TAM,WR,23,14,10,0,0,0,0,0,1,2,2.00,0,55,32,372,11.63,0,1,0,0,0,0,37,69.4,72.4,53.4,0,92,,2005
Kevin Faulk,NWE,RB,29,8,2,0,0,0,0,0,51,145,2.84,0,37,29,260,8.97,0,3,2,0,0,0,37,65.5,73.5,51.0,0,73,,2005
Courtney Roby,TEN,WR,22,13,6,0,0,0,0,0,2,16,8.00,0,43,21,289,13.76,1,1,0,1,0,0,37,57.5,60.5,47.0,0,94,,2005
Mike Williams,DET,WR,21,14,4,0,0,0,0,0,0,0,0,0,57,29,350,12.07,1,2,2,1,0,0,37,66.0,71.0,51.5,0,93,,2005
Doug Jolley,NYJ,TE,26,16,7,0,0,0,0,0,0,0,0,0,50,29,324,11.17,1,1,1,1,0,0,36,65.4,69.4,50.9,0,29,,2005
Desmond Clark,CHI,TE,28,16,16,0,0,0,0,0,0,0,0,0,49,24,229,9.54,2,0,0,2,0,0,35,58.9,61.9,46.9,0,30,,2005
Frisman Jackson,CLE,WR,26,12,0,0,0,0,0,0,0,0,0,0,41,24,287,11.96,1,0,0,1,0,0,35,58.7,61.7,46.7,0,95,,2005
Justin Griffith,ATL,FB,25,16,15,0,0,0,0,0,15,65,4.33,0,34,21,111,5.29,3,1,1,3,0,0,34,54.6,58.6,44.1,0,74,,2005
Ike Hilliard,TAM,WR,29,16,2,0,0,0,0,0,0,0,0,0,53,35,282,8.06,1,0,0,1,0,0,34,69.2,72.2,51.7,0,96,,2005
Tim Rattay,SFO,QB,28,4,4,56,97,667,5,6,7,18,2.57,0,0,0,0,0,0,3,1,0,0,0,34,34.5,44.5,40.5,0,44,,2005
Jerald Sowell,NYJ,FB,31,16,14,0,0,0,0,0,1,1,1.00,1,38,28,155,5.54,2,1,0,3,0,0,34,61.6,64.6,47.6,0,75,,2005
Chris Baker,NYJ,TE,26,8,8,0,0,0,0,0,0,0,0,0,25,18,269,14.94,1,1,0,1,0,0,33,50.9,53.9,41.9,0,32,,2005
Adam Bergen,ARI,TE,22,16,9,0,0,0,0,0,0,0,0,0,43,28,270,9.64,1,0,0,1,0,0,33,61.0,64.0,47.0,0,31,,2005
Ron Dayne,DEN,RB,27,10,0,0,0,0,0,0,53,270,5.09,1,3,3,17,5.67,0,1,1,1,0,0,33,35.7,39.7,34.2,0,76,,2005
Troy Walters,IND,WR,29,16,1,0,0,0,0,0,0,0,0,0,19,14,152,10.86,3,0,0,3,0,0,33,47.2,50.2,40.2,0,97,,2005
Rock Cartwright,WAS,FB,26,16,0,0,0,0,0,0,27,199,7.37,2,4,2,23,11.50,0,1,1,2,0,0,32,34.2,38.2,33.2,0,77,,2005
Heath Evans,2TM,FB,27,12,3,0,0,0,0,0,52,192,3.69,0,17,14,105,7.50,0,0,0,0,1,0,32,45.7,51.7,38.7,0,78,,2005
Billy McMullen,PHI,WR,25,16,0,0,0,0,0,0,0,0,0,0,38,18,268,14.89,1,1,1,1,0,0,31,48.8,52.8,39.8,0,98,,2005
Obafemi Ayanbadejo,ARI,FB,30,16,2,0,0,0,0,0,22,46,2.09,0,45,34,231,6.79,0,1,1,0,2,0,30,63.7,67.7,46.7,0,81,,2005
Ciatrick Fason,MIN,RB,23,13,0,0,0,0,0,0,32,62,1.94,4,0,0,0,0,0,1,0,4,0,0,30,30.2,30.2,30.2,0,80,,2005
Kris Mangum,CAR,TE,32,14,9,0,0,0,0,0,0,0,0,0,35,23,202,8.78,2,0,1,2,0,0,30,53.2,57.2,41.7,0,33,,2005
Lorenzo Neal,SDG,FB,35,16,15,0,0,0,0,0,29,98,3.38,0,29,24,145,6.04,1,0,0,1,0,0,30,54.3,57.3,42.3,0,79,,2005
Sage Rosenfels,MIA,QB,27,4,1,34,61,462,4,3,6,15,2.50,0,0,0,0,0,0,1,0,0,0,0,30,30.0,36.0,33.0,0,45,,2005
Johnnie Morton,SFO,WR,34,13,10,0,0,0,0,0,0,0,0,0,44,21,288,13.71,0,0,0,0,0,0,29,49.8,52.8,39.3,0,99,,2005
Michael Gaines,CAR,TE,25,11,6,0,0,0,0,0,0,0,0,0,16,12,155,12.92,2,0,0,2,0,0,28,39.5,42.5,33.5,0,34,,2005
Nick Goings,CAR,RB,27,16,1,0,0,0,0,0,37,133,3.59,0,20,14,151,10.79,0,1,0,0,0,0,28,42.4,48.4,35.4,0,82,,2005
Lamar Gordon,PHI,RB,25,14,4,0,0,0,0,0,54,182,3.37,1,17,11,79,7.18,0,3,2,1,0,0,28,39.1,44.1,33.6,0,83,,2005
Shaud Williams,BUF,RB,25,16,0,0,0,0,0,0,45,161,3.58,0,23,17,118,6.94,0,0,0,0,0,0,28,44.9,50.9,36.4,0,84,,2005
Bubba Franks,GNB,TE,27,10,8,0,0,0,0,0,0,0,0,0,39,25,207,8.28,1,0,0,1,0,0,27,51.7,54.7,39.2,0,35,,2005
Quincy Morgan,PIT,WR,28,16,0,0,0,0,0,0,0,0,0,0,18,9,150,16.67,2,1,0,2,0,0,27,36.0,39.0,31.5,0,101,,2005
Billy Volek,TEN,QB,29,6,1,50,88,474,4,2,1,3,3.00,0,0,0,0,0,0,3,2,0,0,0,27,27.3,34.3,29.3,0,46,,2005
Kevin Walter,CIN,WR,24,16,2,0,0,0,0,0,0,0,0,0,29,19,211,11.11,1,0,0,1,0,0,27,46.1,49.1,36.6,0,100,,2005
Cedric Benson,CHI,RB,23,9,1,0,0,0,0,0,67,272,4.06,0,1,1,3,3.00,0,1,1,0,0,0,26,26.5,30.5,26.0,0,86,,2005
Bernard Berrian,CHI,WR,25,11,2,0,0,0,0,0,2,31,15.50,0,25,13,246,18.92,0,1,1,0,0,0,26,38.7,42.7,32.2,0,102,,2005
Jerricho Cotchery,NYJ,WR,23,16,1,0,0,0,0,0,1,4,4.00,0,32,19,251,13.21,0,2,0,0,0,0,26,44.5,47.5,35.0,0,104,,2005
Jeremi Johnson,CIN,FB,25,16,11,0,0,0,0,0,8,14,1.75,0,19,12,65,5.42,3,2,0,3,0,0,26,37.9,37.9,31.9,0,85,,2005
Jarrett Payton,TEN,RB,25,13,0,0,0,0,0,0,33,105,3.18,2,10,6,30,5.00,0,0,0,2,0,0,26,31.5,34.5,28.5,0,87,,2005
Charles Rogers,DET,WR,24,9,3,0,0,0,0,0,0,0,0,0,31,14,197,14.07,1,0,0,1,0,0,26,39.7,42.7,32.7,0,103,,2005
Jim Sorgi,IND,QB,25,5,0,42,61,444,3,1,12,1,0.08,0,0,0,0,0,0,1,1,0,0,0,26,25.9,30.9,26.9,0,47,,2005
Andre' Davis,NWE,WR,26,9,4,0,0,0,0,0,0,0,0,0,24,9,190,21.11,1,0,0,1,0,0,25,34.0,37.0,29.5,0,107,,2005
Randy Hymes,BAL,WR,26,16,3,0,2,0,0,0,0,0,0,0,31,11,132,12.00,2,0,0,2,0,0,25,36.2,39.2,30.7,0,105,,2005
Jerome Mathis,HOU,WR,22,12,0,0,0,0,0,0,0,0,0,0,13,5,65,13.00,1,3,0,3,0,0,25,29.5,29.5,27.0,0,108,,2005
LeRon McCoy,ARI,WR,23,10,4,0,0,0,0,0,0,0,0,0,30,18,191,10.61,1,0,0,1,0,0,25,43.1,46.1,34.1,0,106,,2005
Matt Schobel,CIN,TE,27,16,1,0,0,0,0,0,0,0,0,0,25,18,193,10.72,1,1,1,1,1,0,25,43.3,47.3,34.3,0,36,,2005
Ken Dorsey,SFO,QB,24,3,3,48,90,481,2,2,4,11,2.75,0,0,0,0,0,0,2,1,0,0,1,24,24.3,30.3,26.3,0,48,,2005
William Henderson,GNB,FB,34,16,8,0,0,0,0,0,1,-5,-5.00,0,34,30,264,8.80,0,1,1,0,0,0,24,53.9,57.9,38.9,0,91,,2005
Noah Herron,2TM,RB,23,7,0,0,0,0,0,0,48,123,2.56,2,0,0,0,0,0,0,0,2,0,0,24,24.3,27.3,24.3,0,89,,2005
Dane Looker,STL,WR,29,16,0,0,0,0,0,0,0,0,0,0,27,23,237,10.30,0,0,0,0,0,0,24,46.7,49.7,35.2,0,109,,2005
Chad Pennington,NYJ,QB,29,3,3,49,83,530,2,3,6,27,4.50,0,0,0,0,0,0,8,1,0,0,0,24,23.9,30.9,26.9,0,49,,2005
Duce Staley,PIT,RB,30,5,1,0,0,0,0,0,38,148,3.89,1,7,6,34,5.67,0,1,0,1,0,0,24,30.2,33.2,27.2,0,90,,2005
Mack Strong,SEA,FB,34,16,6,0,0,0,0,0,17,78,4.59,0,27,22,166,7.55,0,0,0,0,0,0,24,46.4,49.4,35.4,0,88,,2005
George Wrighster,JAX,TE,24,16,6,0,0,0,0,0,0,0,0,0,23,13,120,9.23,2,0,0,2,0,0,24,37.0,40.0,30.5,0,37,,2005
Stephen Alexander,DEN,TE,30,16,15,0,0,0,0,0,0,0,0,0,36,21,170,8.10,1,0,0,1,0,0,23,44.0,47.0,33.5,0,38,,2005
Tim Carter,NYG,WR,26,15,1,0,0,0,0,0,6,46,7.67,0,25,10,186,18.60,0,0,0,0,0,0,23,33.2,36.2,28.2,0,111,,2005
Alex Smith,SFO,QB,21,9,7,84,165,875,1,11,30,103,3.43,0,0,0,0,0,0,11,2,0,0,0,23,23.3,42.3,34.3,0,51,,2005
Vinny Testaverde,NYJ,QB,42,6,4,60,106,777,1,6,7,4,0.57,2,0,0,0,0,0,8,6,2,0,0,23,23.5,38.5,29.5,0,50,,2005
Alvis Whitted,OAK,WR,31,16,0,0,0,0,0,0,2,51,25.50,0,26,14,183,13.07,0,0,0,0,0,0,23,37.4,40.4,30.4,0,110,,2005
David Patten,WAS,WR,31,9,7,0,0,0,0,0,0,0,0,0,53,22,217,9.86,0,0,0,0,0,0,22,43.7,46.7,32.7,0,112,,2005
Charlie Batch,PIT,QB,31,4,2,23,36,246,1,1,11,30,2.73,1,0,0,0,0,0,1,0,1,0,0,21,20.8,21.8,21.8,0,52,,2005
Mark Bradley,CHI,WR,23,7,4,0,0,0,0,0,0,0,0,0,36,18,230,12.78,0,1,1,0,0,0,21,39.0,43.0,30.0,0,114,,2005
Ernie Conwell,NOR,TE,33,8,8,0,0,0,0,0,0,0,0,0,29,13,165,12.69,1,1,1,1,0,0,21,33.5,37.5,27.0,0,41,,2005
Najeh Davenport,GNB,RB,26,5,1,0,0,0,0,0,30,105,3.50,2,2,2,3,1.50,0,1,1,2,0,0,21,22.8,26.8,21.8,0,92,,2005
Rod Gardner,2TM,WR,28,13,1,0,0,0,0,0,0,0,0,0,26,13,151,11.62,1,0,0,1,0,0,21,34.1,37.1,27.6,0,113,,2005
Aaron Shea,CLE,TE,29,12,4,0,0,0,0,0,0,0,0,0,32,18,153,8.50,1,0,0,1,0,0,21,39.3,42.3,30.3,0,40,,2005
Daniel Wilcox,BAL,TE,28,13,3,0,0,0,0,0,0,0,0,0,28,20,154,7.70,1,0,0,1,0,0,21,41.4,44.4,31.4,0,39,,2005
James Thrash,WAS,WR,30,12,2,0,0,0,0,0,1,8,8.00,0,30,14,194,13.86,0,1,0,0,0,0,20,34.2,37.2,27.2,0,115,,2005
Eric Edwards,ARI,TE,25,16,9,0,0,0,0,0,0,0,0,0,17,12,133,11.08,1,0,0,1,0,0,19,31.3,34.3,25.3,0,42,,2005
Marc Edwards,CHI,FB,31,8,5,0,0,0,0,0,0,0,0,0,13,10,66,6.60,2,0,0,2,0,0,19,28.6,28.6,23.6,0,93,,2005
Chris Horn,KAN,WR,28,14,3,0,0,0,0,0,0,0,0,0,31,18,187,10.39,0,0,0,0,0,0,19,36.7,39.7,27.7,0,117,,2005
Roscoe Parrish,BUF,WR,23,10,1,1,1,3,0,0,2,-2,-1.00,0,25,15,148,9.87,1,2,1,1,0,0,19,33.7,37.7,26.2,0,116,,2005
Robert Royal,WAS,TE,26,15,14,0,0,0,0,0,0,0,0,0,35,18,131,7.28,1,0,0,1,0,0,19,37.1,40.1,28.1,0,43,,2005
Peter Warrick,SEA,WR,28,13,5,0,0,0,0,0,1,5,5.00,0,23,11,180,16.36,0,0,0,0,0,0,19,29.5,32.5,24.0,0,118,,2005
Charlie Adams,DEN,WR,26,16,2,0,0,0,0,0,5,14,2.80,0,36,21,203,9.67,0,4,2,0,0,0,18,38.7,43.7,28.2,0,119,,2005
Todd Bouman,NOR,QB,33,16,3,68,122,722,2,7,8,15,1.88,0,0,0,0,0,0,4,3,0,0,0,18,18.4,31.4,25.4,0,53,,2005
Kyle Brady,JAX,TE,33,16,14,0,0,0,0,0,0,0,0,0,26,18,157,8.72,1,3,2,1,0,0,18,35.7,40.7,26.7,0,45,,2005
Christian Fauria,NWE,TE,34,16,10,0,0,0,0,0,0,0,0,0,17,8,57,7.13,2,0,0,2,0,0,18,25.7,25.7,21.7,0,46,,2005
Tyson Thompson,DAL,RB,24,15,0,0,0,0,0,0,46,182,3.96,0,4,3,16,5.33,0,2,1,0,0,0,18,20.8,24.8,19.3,0,94,,2005
Ben Utecht,IND,TE,24,12,2,0,0,0,0,0,0,0,0,0,12,3,59,19.67,2,0,0,2,0,0,18,20.9,20.9,19.4,0,44,,2005
Tyrone Calico,TEN,WR,25,12,6,0,0,0,0,0,0,0,0,0,42,22,191,8.68,0,1,1,0,0,0,17,39.1,43.1,28.1,0,120,,2005
Bryan Gilmore,MIA,WR,27,15,1,0,0,0,0,0,0,0,0,0,20,5,105,21.00,1,0,0,1,0,0,17,21.5,24.5,19.0,0,121,,2005
Jim Kleinsasser,MIN,TE,28,16,16,0,0,0,0,0,0,0,0,0,28,22,171,7.77,0,1,0,0,0,0,17,39.1,42.1,28.1,0,47,,2005
Sammy Morris,MIA,RB,28,16,2,0,0,0,0,0,16,58,3.63,1,12,8,54,6.75,0,0,0,1,0,0,17,25.2,25.2,21.2,0,95,,2005
Marcellus Rivers,HOU,TE,27,16,5,0,0,0,0,0,0,0,0,0,35,24,168,7.00,0,0,0,0,0,0,17,40.8,43.8,28.8,0,48,,2005
Drew Carter,CAR,WR,24,3,0,0,0,0,0,0,0,0,0,0,15,5,103,20.60,1,0,0,1,0,0,16,21.3,24.3,18.8,0,123,,2005
Reno Mahe,PHI,RB,25,15,0,0,0,0,0,0,20,87,4.35,0,20,12,68,5.67,0,2,0,0,0,0,16,27.5,27.5,21.5,0,97,,2005
Daimon Shelton,BUF,FB,33,16,11,0,0,0,0,0,1,0,0.00,0,21,13,98,7.54,1,1,0,1,0,0,16,28.8,28.8,22.3,0,96,,2005
Edell Shepherd,TAM,WR,25,16,0,0,0,0,0,0,0,0,0,0,9,6,103,17.17,1,1,0,1,0,0,16,22.3,25.3,19.3,0,124,,2005
Kelley Washington,CIN,WR,26,7,0,0,0,0,0,0,0,0,0,0,19,10,101,10.10,1,0,0,1,0,0,16,26.1,29.1,21.1,0,125,,2005
